song_hash	midi_relpath	pipeline_key(music21)	human_key(記入)	match(y/n)
002918fd6f890918f50b8752665f94b4	GMD/training/no-drums/15/002918fd6f890918f50b8752665f94b4.mid	E minor	E minor	y
017e52b4bfa48cac5fc2207c61352d4f	GMD/training/no-drums/38/017e52b4bfa48cac5fc2207c61352d4f.mid	G major	G major	y
03238b661d42d3c2df2d5d1ad5093b3f	GMD/training/no-drums/23/03238b661d42d3c2df2d5d1ad5093b3f.mid	B minor	B minor	y
03a7b8f60832ccbe8570915a69be239c	GMD/training/no-drums/41/03a7b8f60832ccbe8570915a69be239c.mid	B- major	A minor	n
0558bbfad945477a196fdd8488c47064	GMD/training/no-drums/37/0558bbfad945477a196fdd8488c47064.mid	G major	A minor	n
09e33f530ffa8c7676cd15436811fb88	GMD/training/no-drums/28/09e33f530ffa8c7676cd15436811fb88.mid	C minor	C minor	y
0abc04d6846a3a315f9601cd004d7029	GMD/training/all-instruments-with-drums/12/0abc04d6846a3a315f9601cd004d7029.mid	C minor	C minor
0c50904756a30e1d6c23b302b066faf2	GMD/training/all-instruments-with-drums/4/0c50904756a30e1d6c23b302b066faf2.mid	E- major	F major	n
0d371c88698d37caf200c2d54f1de660	GMD/training/no-drums/24/0d371c88698d37caf200c2d54f1de660.mid	E- major	E- major
0f447ecf9a811e79ee81a0ceb4a04002	GMD/training/all-instruments-with-drums/10/0f447ecf9a811e79ee81a0ceb4a04002.mid	C major	F major	n
100dfdad55e3f27676a57a75db1de081	GMD/training/no-drums/10/100dfdad55e3f27676a57a75db1de081.mid	A major	G minor	n
10505cb7bad53b33f5157b3629dba9a3	GMD/training/all-instruments-with-drums/9/10505cb7bad53b33f5157b3629dba9a3.mid	B major	B major	y
105662d8eb4e16d98ee61719c239bab2	GMD/training/no-drums/22/105662d8eb4e16d98ee61719c239bab2.mid	D major	D minor	n
15a88d9265d934387916587cb20df073	GMD/training/no-drums/16/15a88d9265d934387916587cb20df073.mid	A- major	A- major	y
16a94b81fe890ead0cfac72d4a3bb2c0	GMD/training/all-instruments-with-drums/12/16a94b81fe890ead0cfac72d4a3bb2c0.mid	C major	C major	y
1736460d90fde0c623e8d9cb893bae01	GMD/training/no-drums/39/1736460d90fde0c623e8d9cb893bae01.mid	E minor	E minor	y
1a678660465a5a933506009094de2827	GMD/training/no-drums/1/1a678660465a5a933506009094de2827.mid	E minor	E minor	y
1b1c682c01c8681592cb1aeff98413ab	GMD/training/no-drums/9/1b1c682c01c8681592cb1aeff98413ab.mid	G major	G major	y
1c259671033249c25fe9526ba349828e	GMD/training/no-drums/51/1c259671033249c25fe9526ba349828e.mid	E- major	E- major	y
1c9361bf86c62e3dd9b8063cdedc2466	GMD/training/no-drums/10/1c9361bf86c62e3dd9b8063cdedc2466.mid	G major	G major	y
1d319be82d79da8732c0b86e3351b155	GMD/training/no-drums/12/1d319be82d79da8732c0b86e3351b155.mid	B minor	E minor	n
1e6f28fea4cb53ad56093201332667fa	GMD/training/no-drums/41/1e6f28fea4cb53ad56093201332667fa.mid	B- major	B- major
1e9384d76ac309e536e3b2d2a2eed180	GMD/training/all-instruments-with-drums/4/1e9384d76ac309e536e3b2d2a2eed180.mid	C major	C major	y
1f702b860d00eab32574ed0a7d6ee187	GMD/training/no-drums/42/1f702b860d00eab32574ed0a7d6ee187.mid	E major	F major	n
20a65eb162d04ba69d12d29848f57f54	GMD/training/all-instruments-with-drums/4/20a65eb162d04ba69d12d29848f57f54.mid	C major	C major	y
218f2b2d5fb56edf9c6c977a30c79c66	GMD/training/no-drums/6/218f2b2d5fb56edf9c6c977a30c79c66.mid	B- major	B- major	y
2196ba36643a874520658800c1051908	GMD/training/all-instruments-with-drums/5/2196ba36643a874520658800c1051908.mid	G major	G major	y
228682c50ca17da2d731bc74232e8409	GMD/training/no-drums/20/228682c50ca17da2d731bc74232e8409.mid	D minor	D minor	y
22da6d81cf6ee9166aacb5d32f7c61bd	GMD/training/no-drums/43/22da6d81cf6ee9166aacb5d32f7c61bd.mid	G major	C major	n
256b441166636c5606a269c94b30a85d	GMD/training/all-instruments-with-drums/10/256b441166636c5606a269c94b30a85d.mid	B- major	B- major
25f7bda39a2a5d7b9f876f8c8853fe3c	GMD/training/no-drums/26/25f7bda39a2a5d7b9f876f8c8853fe3c.mid	A- major	A- major	y
28197a500de808bd0d2371497a572588	GMD/training/all-instruments-with-drums/9/28197a500de808bd0d2371497a572588.mid	D major	D major	y
